City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,poum,-20.2333,164.0167,80.4,84,100,17.25,NC,1675854408
1,istok,42.7808,20.4875,28.06,60,77,5.03,XK,1675854581
2,kodra,50.5949,29.5587,26.31,66,5,3.42,UA,1675854582
3,saldanha,-33.0117,17.9442,71.22,67,13,14.5,ZA,1675854582
4,atuona,-9.8,-139.0333,77.95,78,70,16.17,PF,1675854583
5,esperance,-33.8667,121.9,65.82,83,2,11.92,AU,1675854360
6,liverpool,53.4106,-2.9779,42.62,71,100,6.93,GB,1675854583
7,san quintin,30.4833,-115.95,55.31,54,45,2.26,MX,1675854584
8,temyasovo,52.9933,58.1014,19.6,75,4,5.48,RU,1675854584
9,kapaa,22.0752,-159.319,72.88,75,58,17.02,US,1675854393
10,jamestown,42.097,-79.2353,31.33,88,100,9.6,US,1675854449
11,pereslavl-zalesskiy,56.7393,38.8563,22.42,93,99,9.75,RU,1675854585
12,caravelas,-17.7125,-39.2481,81.27,65,99,8.12,BR,1675854585
13,hobyo,5.3505,48.5268,82.71,60,1,18.95,SO,1675854586
14,luanda,-8.8368,13.2343,81.12,65,100,7.43,AO,1675854378
15,georgetown,5.4112,100.3354,81.43,77,89,2.84,MY,1675854587
16,marzuq,14.4,46.4667,87.19,16,53,9.89,YE,1675854587
17,marsabit,2.3284,37.9899,82.4,30,12,14.14,KE,1675854588
18,qiongshan,20.0058,110.3542,73.99,77,58,13.67,CN,1675854588
19,saint-philippe,-21.3585,55.7679,85.59,81,74,14.74,RE,1675854588
20,kalmunai,7.4167,81.8167,81.01,75,94,9.15,LK,1675854589
21,komsomolskiy,40.4272,71.7189,52.52,40,97,4.61,UZ,1675854589
22,mataura,-46.1927,168.8643,45.79,88,80,9.04,NZ,1675854590
23,kalispell,48.1958,-114.3129,30.79,78,61,12.3,US,1675854312
24,ushuaia,-54.8,-68.3,49.93,94,100,10.98,AR,1675854590
25,lebu,-37.6167,-73.65,57.2,89,1,12.73,CL,1675854591
26,brae,60.3964,-1.353,45.07,72,100,35.08,GB,1675854591
27,morro bay,35.3658,-120.8499,53.22,61,45,1.99,US,1675854592
28,port alfred,-33.5906,26.891,70.88,75,100,12.62,ZA,1675854592
29,albany,42.6001,-73.9662,36.7,79,100,9.19,US,1675854592
30,ati,13.2154,18.3353,88.36,11,100,13.69,TD,1675854593
31,cranbrook,49.4999,-115.7688,26.11,90,72,6.78,CA,1675854593
32,xiamen,24.4798,118.0819,60.26,81,35,14.67,CN,1675854594
33,busselton,-33.65,115.3333,69.98,66,0,18.59,AU,1675854594
34,castro,-24.7911,-50.0119,63.95,90,58,3.89,BR,1675854580
35,rikitea,-23.1203,-134.9692,78.8,75,88,11.34,PF,1675854595
36,cape town,-33.9258,18.4232,79.14,51,0,10.02,ZA,1675854381
37,grimshaw,56.1834,-117.6027,10.4,86,91,4.14,CA,1675854595
38,avarua,-21.2078,-159.775,78.71,82,86,7.81,CK,1675854395
39,gombe,10.2897,11.1673,90.0,12,60,15.84,NG,1675854596
40,tiksi,71.6872,128.8694,-39.03,98,53,6.76,RU,1675854403
41,nanortalik,60.1432,-45.2371,16.95,60,85,10.18,GL,1675854596
42,new norfolk,-42.7826,147.0587,52.41,79,63,2.19,AU,1675854597
43,mahebourg,-20.4081,57.7,86.29,66,40,9.22,MU,1675854597
44,rancho palos verdes,33.7445,-118.387,60.01,51,71,3.0,US,1675854597
45,punta arenas,-53.15,-70.9167,52.05,87,100,5.77,CL,1675854398
46,lagoa,39.05,-27.9833,55.74,58,93,12.93,PT,1675854598
47,cherskiy,68.75,161.3,-23.73,98,100,5.99,RU,1675854598
48,bluff,-46.6,168.3333,51.6,66,64,25.23,NZ,1675854599
49,clyde river,70.4692,-68.5914,-32.37,98,96,2.57,CA,1675854599
50,rawson,-43.3002,-65.1023,67.96,41,1,5.73,AR,1675854600
51,kununurra,-15.7667,128.7333,93.81,32,0,3.38,AU,1675854600
52,dikson,73.5069,80.5464,1.54,82,100,22.03,RU,1675854418
53,vaini,-21.2,-175.2,79.84,79,9,10.87,TO,1675854601
54,gimli,50.6336,-96.9907,16.75,97,100,3.58,CA,1675854602
55,ribeira grande,38.5167,-28.7,56.59,59,80,11.95,PT,1675854603
56,coahuayana,18.7333,-103.6833,66.7,87,1,3.53,MX,1675854604
57,geraldton,-28.7667,114.6,74.97,77,0,19.13,AU,1675854571
58,batagay-alyta,67.8006,130.4114,-45.09,100,64,3.4,RU,1675854606
59,barrow,71.2906,-156.7887,-14.78,76,100,11.5,US,1675854370
60,halifax,44.6453,-63.5724,29.39,88,99,9.46,CA,1675854332
61,nizhniy kuranakh,58.8353,125.4869,-19.71,95,99,3.83,RU,1675854608
62,talnakh,69.4865,88.3972,-11.79,97,99,7.85,RU,1675854608
63,miles city,46.4083,-105.8406,31.17,80,75,6.91,US,1675854419
64,concord,37.978,-122.0311,45.72,78,0,2.21,US,1675854609
65,kudahuvadhoo,2.6708,72.8944,81.43,66,98,10.09,MV,1675854610
66,leningradskiy,69.3833,178.4167,-20.67,93,100,4.99,RU,1675854611
67,bilibino,68.0546,166.4372,-35.57,100,100,1.32,RU,1675854612
68,nyuksenitsa,60.4128,44.2397,26.96,94,100,8.5,RU,1675854612
69,hami,42.8,93.45,34.3,61,46,2.17,CN,1675854613
70,muroto,33.2833,134.15,53.17,52,13,12.41,JP,1675854613
71,warren,39.4334,-84.1666,34.18,85,75,3.06,US,1675854614
72,plettenberg bay,-34.0527,23.3716,71.26,66,88,12.37,ZA,1675854614
73,codrington,-38.2667,141.9667,58.3,91,38,8.86,AU,1675854444
74,gander,48.9682,-54.5906,14.16,92,100,11.01,CA,1675854547
75,los angeles,34.0522,-118.2437,57.88,28,87,3.27,US,1675854267
76,tuatapere,-46.1333,167.6833,47.64,82,72,11.25,NZ,1675854615
77,arraial do cabo,-22.9661,-42.0278,76.86,83,75,8.05,BR,1675854619
78,hermanus,-34.4187,19.2345,79.16,51,5,16.75,ZA,1675854622
79,begles,44.8084,-0.5481,46.99,51,4,4.05,FR,1675854622
80,venado tuerto,-33.7456,-61.9688,76.53,33,80,5.35,AR,1675854622
81,hilo,19.7297,-155.09,71.76,82,100,6.44,US,1675854487
82,sinnamary,5.3833,-52.95,76.57,89,100,9.66,GF,1675854625
83,kirakira,-10.4544,161.9205,79.88,87,93,5.79,SB,1675854626
84,batemans bay,-35.7167,150.1833,66.63,89,99,4.54,AU,1675854626
85,mar del plata,-38.0023,-57.5575,72.09,82,79,7.63,AR,1675854503
86,high level,58.5169,-117.136,-5.19,100,34,2.13,CA,1675854627
87,bodden town,19.2833,-81.25,77.94,87,20,11.5,KY,1675854629
88,itoman,26.1247,127.6694,66.76,74,92,16.31,JP,1675854629
89,shelburne,44.0787,-80.2041,29.07,91,94,12.1,CA,1675854352
90,butaritari,3.0707,172.7902,80.78,82,85,22.15,KI,1675854630
91,hithadhoo,-0.6,73.0833,81.95,71,21,8.28,MV,1675854395
92,kihei,20.785,-156.4656,73.85,79,0,13.8,US,1675854632
93,qaanaaq,77.484,-69.3632,-25.1,66,12,5.23,GL,1675854410
94,narsaq,60.9167,-46.05,3.2,65,98,12.59,GL,1675854634
95,northam,51.0333,-4.2167,42.89,70,32,6.02,GB,1675854636
96,yellowknife,62.456,-114.3525,-10.86,97,98,3.49,CA,1675854637
97,ligayan,4.6533,119.4706,78.57,79,100,8.32,PH,1675854637
98,jaque,7.5175,-78.1703,76.71,86,79,3.62,PA,1675854638
99,blagodatnoye,45.3997,42.5867,21.16,92,100,11.88,RU,1675854638
100,hambantota,6.1241,81.1185,84.74,62,93,21.34,LK,1675854639
101,kodiak,57.79,-152.4072,21.31,73,39,7.27,US,1675854356
102,husavik,66.0449,-17.3389,20.14,76,42,14.05,IS,1675854640
103,puerto ayora,-0.7393,-90.3518,75.54,97,66,1.01,EC,1675854633
104,jiazi,22.8779,116.067,63.41,84,100,18.59,CN,1675854641
105,yulara,-25.2406,130.9889,92.32,12,0,10.27,AU,1675854641
106,mildura,-34.2,142.15,79.27,18,0,8.9,AU,1675854642
107,pacific grove,36.6177,-121.9166,50.34,70,0,10.45,US,1675854643
108,padang,-0.9492,100.3543,80.92,80,62,1.63,ID,1675854643
109,lai,9.3952,16.2989,96.49,8,26,6.62,TD,1675854644
110,chokurdakh,70.6333,147.9167,-26.77,98,100,4.97,RU,1675854417
111,alto lucero,19.6167,-96.7167,60.08,83,2,3.8,MX,1675854405
112,sioux lookout,50.1001,-91.917,17.2,97,95,4.29,CA,1675854645
113,viedma,-40.8135,-62.9967,67.48,62,31,7.78,AR,1675854434
114,mumford,5.2618,-0.759,83.26,70,74,9.01,GH,1675854645
115,bredasdorp,-34.5322,20.0403,77.16,49,60,18.88,ZA,1675854646
116,leshukonskoye,64.8989,45.7622,31.06,92,68,8.05,RU,1675854551
117,juru,5.312,100.4423,80.04,82,94,2.71,MY,1675854646
118,bam,29.106,58.357,72.19,30,33,16.62,IR,1675854647
119,itarema,-2.9248,-39.9167,79.41,77,100,11.3,BR,1675854392
120,sao sebastiao,-23.76,-45.4097,76.26,89,56,2.66,BR,1675854647
121,bremerton,47.5673,-122.6326,35.58,92,7,3.02,US,1675854648
122,portland,45.5234,-122.6762,38.05,95,40,3.0,US,1675854581
123,tuktoyaktuk,69.4541,-133.0374,-19.55,97,100,4.56,CA,1675854648
124,escanaba,45.7453,-87.0646,28.71,96,0,3.44,US,1675854382
125,gurlan,41.8447,60.3919,48.15,46,86,15.21,UZ,1675854649
126,auki,-8.7676,160.7034,77.74,89,99,5.66,SB,1675854650
127,nikolskoye,59.7035,30.7861,31.37,94,100,7.27,RU,1675854650
128,kargasok,59.0556,80.8572,-7.04,99,87,5.12,RU,1675854651
129,martinsicuro,42.8811,13.9145,41.5,72,84,6.62,IT,1675854651
130,port hedland,-20.3167,118.5667,86.86,67,52,14.34,AU,1675854651
131,rockport,28.0206,-97.0544,64.98,97,47,11.56,US,1675854479
132,shingu,33.7333,135.9833,43.72,75,8,5.79,JP,1675854652
133,dubbo,-32.25,148.6167,73.31,63,52,17.29,AU,1675854652
134,cidreira,-30.1811,-50.2056,76.42,79,1,12.24,BR,1675854453
135,san cristobal,7.7669,-72.225,65.41,80,97,2.55,VE,1675854563
136,ilulissat,69.2167,-51.1,-28.52,83,38,6.73,GL,1675854653
137,pochutla,15.7432,-96.4661,71.11,50,0,4.9,MX,1675854654
138,makakilo city,21.3469,-158.0858,71.44,73,25,19.46,US,1675854654
139,salaga,8.5508,-0.5188,94.32,36,83,4.94,GH,1675854654
140,roma,43.2128,-75.4557,33.4,95,98,5.91,US,1675854363
141,bambous virieux,-20.3428,57.7575,80.55,73,99,13.8,MU,1675854383
142,santa ana,33.7456,-117.8678,56.82,39,94,2.21,US,1675854655
143,burhanpur,21.3,76.2333,88.27,11,36,8.63,IN,1675854656
144,vao,-22.6667,167.4833,80.08,72,98,12.48,NC,1675854656
145,gambela,8.25,34.5833,102.65,12,23,6.6,ET,1675854657
146,guasdualito,7.2424,-70.7324,74.59,65,98,3.44,VE,1675854657
147,port elizabeth,-33.918,25.5701,70.21,73,100,10.47,ZA,1675854657
148,basco,20.4487,121.9702,76.53,80,62,23.04,PH,1675854658
149,hobart,-42.8794,147.3294,53.78,74,81,2.62,AU,1675854658
150,chimore,-16.9833,-65.1333,71.28,99,100,0.54,BO,1675854658
151,mayumba,-3.432,10.6554,84.45,71,72,11.01,GA,1675854659
152,khatanga,71.9667,102.5,-45.65,100,75,4.12,RU,1675854659
153,camacha,33.0833,-16.3333,58.03,60,66,9.28,PT,1675854372
154,navirai,-23.065,-54.1906,73.74,83,83,3.2,BR,1675854660
155,thompson,55.7435,-97.8558,-1.43,100,100,3.09,CA,1675854660
156,zhangye,38.9342,100.4517,32.79,46,96,2.28,CN,1675854661
157,san patricio,28.017,-97.5169,71.55,96,24,12.12,US,1675854662
158,bail hongal,15.8167,74.8667,89.85,23,91,10.31,IN,1675854662
159,vila franca do campo,37.7167,-25.4333,57.2,76,52,10.76,PT,1675854663
160,jurm,36.8648,70.8342,44.24,72,100,1.7,AF,1675854664
161,tessalit,20.1986,1.0114,80.58,11,52,12.35,ML,1675854664
162,aripuana,-9.1667,-60.6333,70.12,96,61,0.85,BR,1675854665
163,trairi,-3.2778,-39.2689,79.59,78,89,8.75,BR,1675854647
164,chuy,-33.6971,-53.4616,73.35,75,44,8.77,UY,1675854666
165,namibe,-15.1961,12.1522,78.8,58,98,10.56,AO,1675854667
166,mae sai,20.4335,99.8762,75.67,26,1,0.76,TH,1675854667
167,port lincoln,-34.7333,135.8667,70.7,65,36,10.6,AU,1675854668
168,tasiilaq,65.6145,-37.6368,-7.6,50,0,15.21,GL,1675854669
169,tual,-5.6667,132.75,82.17,78,100,19.3,ID,1675854670
170,aksay,47.26,39.87,26.73,67,70,16.31,RU,1675854653
171,kailua,21.4022,-157.7394,73.65,72,22,23.91,US,1675854671
172,melfi,40.9965,15.6514,36.07,69,94,8.41,IT,1675854672
173,teeli,51.0333,90.2333,-1.66,96,100,1.86,RU,1675854674
174,kutum,14.2,24.6667,74.23,11,25,14.5,SD,1675854674
175,vila velha,-20.3297,-40.2925,82.35,86,40,9.22,BR,1675854494
176,saint george,37.1041,-113.5841,40.44,61,66,2.24,US,1675854356
177,klaksvik,62.2266,-6.589,37.83,97,100,27.11,FO,1675854675
178,sao joao da barra,-21.6403,-41.0511,74.68,90,100,3.65,BR,1675854676
179,mount gambier,-37.8333,140.7667,59.45,77,63,9.8,AU,1675854536
180,waipawa,-41.4122,175.5153,53.96,88,3,4.54,NZ,1675854677
181,faanui,-16.4833,-151.75,80.38,76,20,11.16,PF,1675854677
182,mugur-aksy,50.35,90.5,3.22,89,98,5.57,RU,1675854678
183,sur,22.5667,59.5289,83.25,42,83,3.8,OM,1675854679
184,carnarvon,-24.8667,113.6333,77.94,78,5,26.98,AU,1675854680
185,fairbanks,64.8378,-147.7164,5.81,82,100,3.44,US,1675854600
186,ugoofaaru,5.6667,73.0,81.1,69,62,7.85,MV,1675854681
187,souillac,-20.5167,57.5167,81.73,71,100,14.97,MU,1675854682
188,kutoarjo,-7.7169,109.9128,76.77,91,100,2.64,ID,1675854682
189,samarai,-10.6167,150.6667,79.74,84,100,9.26,PG,1675854683
190,balkanabat,39.5108,54.3671,48.2,72,100,7.99,TM,1675854683
191,okhotsk,59.3833,143.3,-19.19,88,49,8.3,RU,1675854684
192,rafai,4.95,23.9167,100.58,8,9,5.99,CF,1675854684
193,jinchang,38.4953,102.1739,28.74,69,93,2.15,CN,1675854685
194,keuruu,62.2667,24.7,33.3,96,100,6.89,FI,1675854686
195,coquimbo,-29.9533,-71.3436,64.17,88,72,1.97,CL,1675854494
196,danville,36.586,-79.395,44.33,87,41,4.85,US,1675854686
197,barcelos,41.5388,-8.6151,53.17,53,50,12.75,PT,1675854687
198,cayenne,4.9333,-52.3333,76.55,89,85,8.7,GF,1675854630
199,mtambile,-5.3833,39.7,85.33,65,30,13.22,TZ,1675854688
200,ca mau,9.1769,105.15,81.68,65,75,10.42,VN,1675854688
201,milicz,51.5277,17.2714,32.9,72,15,9.22,PL,1675854689
202,blackwater,-23.5833,148.8833,76.19,62,55,17.31,AU,1675854690
203,upernavik,72.7868,-56.1549,-23.33,92,66,3.36,GL,1675854610
204,magadan,59.5667,150.8,-17.1,81,43,7.85,RU,1675854691
205,lompoc,34.6391,-120.4579,49.37,64,63,5.21,US,1675854472
206,pisco,-13.7,-76.2167,71.65,88,28,5.75,PE,1675854693
207,tanabe,33.7333,135.3667,43.57,74,11,8.59,JP,1675854694
208,rypefjord,70.6333,23.6667,35.31,68,100,25.41,NO,1675854694
209,kampot,10.6167,104.1833,83.89,67,68,5.46,KH,1675854695
210,sola,-13.8833,167.55,79.95,76,100,1.99,VU,1675854696
211,acapulco,16.8634,-99.8901,73.04,76,0,3.83,MX,1675854696
212,kaitangata,-46.2817,169.8464,49.62,71,48,13.98,NZ,1675854696
213,iqaluit,63.7506,-68.5145,-14.06,94,99,5.41,CA,1675854697
214,kavieng,-2.5744,150.7967,81.77,78,100,8.34,PG,1675854697
215,nome,64.5011,-165.4064,-4.34,93,100,1.01,US,1675854698
216,bethel,41.3712,-73.414,36.19,90,43,7.65,US,1675854699
217,bengkulu,-3.8004,102.2655,80.08,81,89,8.93,ID,1675854699
218,berlevag,70.8578,29.0864,35.6,64,20,48.34,NO,1675854659
219,sheopur,25.6667,76.7,81.16,17,0,8.14,IN,1675854700
220,lynn haven,30.2455,-85.6483,60.01,84,94,1.99,US,1675854701
221,shache,38.4167,77.2406,38.12,43,18,4.7,CN,1675854701
222,college,64.8569,-147.8028,0.37,99,100,1.81,US,1675854702
223,east london,-33.0153,27.9116,71.82,80,100,11.01,ZA,1675854702
224,napasar,27.9667,73.55,80.6,14,2,6.24,IN,1675854703
225,laguna,38.421,-121.4238,42.58,90,0,2.82,US,1675854703
226,roros,62.5747,11.3842,28.0,97,100,10.85,NO,1675854704
227,tres palos,18.1833,-101.6167,64.69,77,1,2.59,MX,1675854705
228,pevek,69.7008,170.3133,-22.34,99,100,5.06,RU,1675854705
229,willmar,45.1219,-95.0433,21.83,90,2,6.8,US,1675854706
230,teshie,5.5836,-0.1072,84.31,68,75,6.96,GH,1675854706
231,watsa,3.0372,29.5355,93.94,12,2,6.91,CD,1675854707
232,xifeng,42.7372,124.7222,13.93,80,0,3.42,CN,1675854707
233,thinadhoo,0.5333,72.9333,81.9,72,43,8.32,MV,1675854708
234,dong xoai,11.5333,106.9167,82.18,59,86,3.51,VN,1675854484
235,saint anthony,45.0205,-93.218,19.08,94,8,4.92,US,1675854512
236,antofagasta,-23.65,-70.4,69.57,87,80,2.21,CL,1675854709
237,port-cartier,50.0334,-66.8654,20.79,95,100,6.87,CA,1675854709
238,rocha,-34.4833,-54.3333,75.43,60,93,11.41,UY,1675854534
239,saint-francois,46.4154,3.9054,37.71,50,3,4.0,FR,1675854710
240,monywa,22.1167,95.1333,81.97,23,0,2.82,MM,1675854488
241,san jeronimo,-11.9472,-75.2829,46.89,80,91,2.89,PE,1675854711
242,buala,-8.145,159.5921,80.33,86,100,6.93,SB,1675854711
243,lavrentiya,65.5833,-171.0,-12.1,94,100,2.19,RU,1675854712
244,kuala terengganu,5.3302,103.1408,77.76,87,48,5.06,MY,1675854712
245,ahuimanu,21.4447,-157.8378,72.79,72,41,20.56,US,1675854713
246,ancud,-41.8697,-73.8203,55.18,92,3,2.44,CL,1675854523
247,kodala,19.6333,84.95,83.62,46,48,12.64,IN,1675854714
248,houma,29.5958,-90.7195,70.0,96,100,9.22,US,1675854714
249,vredendal,-31.6683,18.5012,93.78,28,0,7.11,ZA,1675854715
250,tiznit,29.5833,-9.5,55.65,38,0,2.68,MA,1675854715
251,deskati,39.9225,21.8028,30.36,35,44,4.12,GR,1675854716
252,taoudenni,22.6783,-3.9836,72.91,15,83,15.12,ML,1675854716
253,gashua,12.871,11.0482,86.85,13,93,17.38,NG,1675854497
254,labytnangi,66.6572,66.4183,9.72,96,100,8.08,RU,1675854717
255,kruisfontein,-34.0033,24.7314,70.88,62,95,12.86,ZA,1675854717
256,ilhabela,-23.7781,-45.3581,76.23,88,58,2.48,BR,1675854718
257,airai,-8.9266,125.4092,61.66,97,100,0.6,TL,1675854718
258,ondjiva,-17.0667,15.7333,79.23,30,100,5.95,AO,1675854718
259,kishtwar,33.3167,75.7667,51.89,43,95,0.45,IN,1675854719
260,rantepao,-2.9701,119.8978,69.4,92,100,2.46,ID,1675854719
261,constitucion,-35.3333,-72.4167,61.11,59,0,2.84,CL,1675854720
262,luderitz,-26.6481,15.1594,74.52,61,4,22.75,NA,1675854720
263,praia,14.9215,-23.5087,69.78,64,100,16.46,CV,1675854720
264,kaputa,-8.4689,29.6619,71.96,77,93,8.3,ZM,1675854721
265,fortuna,40.5982,-124.1573,43.99,94,88,3.4,US,1675854722
266,santa barbara,34.7333,-120.0343,43.72,60,57,7.0,US,1675854580
267,gardelegen,52.5252,11.3952,36.3,49,10,9.1,DE,1675854723
268,lorengau,-2.0226,147.2712,78.98,89,100,13.94,PG,1675854724
269,hachinohe,40.5,141.5,30.38,86,75,4.61,JP,1675854724
270,yenagoa,4.9247,6.2642,92.98,47,74,2.53,NG,1675854725
271,varhaug,58.6147,5.6457,43.3,94,99,18.66,NO,1675854726
272,beringovskiy,63.05,179.3167,-25.92,98,29,6.31,RU,1675854727
273,persianovskiy,47.5137,40.1075,25.32,63,0,20.13,RU,1675854728
274,bandarbeyla,9.4942,50.8122,79.34,67,26,12.33,SO,1675854731
275,fayetteville,35.0527,-78.8784,48.45,89,66,5.75,US,1675854732
276,codajas,-3.8367,-62.0569,73.18,98,100,1.66,BR,1675854733
277,tsiroanomandidy,-18.7667,46.0333,83.21,52,92,5.23,MG,1675854535
278,westport,41.1415,-73.3579,37.47,90,55,7.74,US,1675854734
279,balaipungut,1.05,101.2833,79.81,88,88,2.84,ID,1675854734
280,los llanos de aridane,28.6585,-17.9182,58.91,54,71,5.1,ES,1675854735
281,kathu,7.9178,98.3332,83.05,65,34,5.17,TH,1675854736
282,moose factory,51.2585,-80.6094,-9.38,98,22,5.39,CA,1675854457
283,mpanda,-6.3655,31.0409,79.38,60,36,9.04,TZ,1675854737
284,havelock,34.8791,-76.9013,50.7,90,45,6.22,US,1675854738
285,angoche,-16.2325,39.9086,84.13,75,100,6.13,MZ,1675854738
286,jabinyanah,35.035,10.9081,56.64,73,100,18.25,TN,1675854739
